AAPL (APPLE INC),483.5696,+0.1596,
Oct 04 2013 @ 16:14 ET,Bid,483.55,Ask,483.57,Size,1x11,Vol,8802537,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Oct 355.00 (AAPL1304J355),0.0,0.0,128.05,129.00,0,0,13 Oct 355.00 (AAPL1304V355),0.02,0.0,0.0,0.01,0,3,
13 Oct 355.00 (AAPL1304J355-4),0.0,0.0,126.80,129.75,0,0,13 Oct 355.00 (AAPL1304V355-4),0.0,0.0,0.0,0.07,0,3,
13 Oct 355.00 (AAPL1304J355-8),0.0,0.0,126.30,129.15,0,0,13 Oct 355.00 (AAPL1304V355-8),0.02,0.0,0.0,0.12,0,3,
13 Oct 355.00 (AAPL1304J355-A),0.0,0.0,126.80,129.75,0,0,13 Oct 355.00 (AAPL1304V355-A),0.0,0.0,0.0,0.02,0,3,
13 Oct 355.00 (AAPL1304J355-B),0.0,0.0,126.80,130.00,0,0,13 Oct 355.00 (AAPL1304V355-B),0.0,0.0,0.0,0.12,0,3,
13 Oct 355.00 (AAPL1304J355-E),0.0,0.0,127.85,129.00,0,0,13 Oct 355.00 (AAPL1304V355-E),0.0,0.0,0.0,0.07,0,3,
13 Oct 355.00 (AAPL1304J355-I),0.0,0.0,126.85,129.90,0,0,13 Oct 355.00 (AAPL1304V355-I),0.0,0.0,0.0,0.26,0,3,
13 Oct 355.00 (AAPL1304J355-J),0.0,0.0,126.30,129.85,0,0,13 Oct 355.00 (AAPL1304V355-J),0.0,0.0,0.0,0.28,0,3,
13 Oct 355.00 (AAPL1304J355-O),0.0,0.0,125.95,129.15,0,0,13 Oct 355.00 (AAPL1304V355-O),0.0,0.0,0.0,0.01,0,3,
13 Oct 355.00 (AAPL1304J355-P),0.0,0.0,126.05,129.70,0,0,13 Oct 355.00 (AAPL1304V355-P),0.0,0.0,0.0,0.02,0,3,
13 Oct 355.00 (AAPL1304J355-S),0.0,0.0,126.80,129.75,0,0,13 Oct 355.00 (AAPL1304V355-S),0.0,0.0,0.0,0.07,0,3,
13 Oct 355.00 (AAPL1304J355-X),0.0,0.0,126.80,129.95,0,0,13 Oct 355.00 (AAPL1304V355-X),0.0,0.0,0.0,0.07,0,3,
13 Oct 355.00 (AAPL1304J355-Y),0.0,0.0,128.05,129.00,0,0,13 Oct 355.00 (AAPL1304V355-Y),0.0,0.0,0.0,0.29,0,3,
13 Oct 360.00 (AAPL1304J360),0.0,0.0,123.05,124.00,0,0,13 Oct 360.00 (AAPL1304V360),0.0,0.0,0.0,0.01,0,0,
13 Oct 360.00 (AAPL1304J360-4),0.0,0.0,121.80,124.65,0,0,13 Oct 360.00 (AAPL1304V360-4),0.0,0.0,0.0,0.12,0,0,
13 Oct 360.00 (AAPL1304J360-8),0.0,0.0,121.30,124.15,0,0,13 Oct 360.00 (AAPL1304V360-8),0.0,0.0,0.0,0.12,0,0,
