AAPL (APPLE INC),546.0255,-4.7445,
Dec 19 2013 @ 15:02 ET,Bid,545.97,Ask,546.09,Size,2x1,Vol,8897300,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Dec 245.00 (AAPL1321L245),301.27,0.0,298.60,301.85,0,7,13 Dec 245.00 (AAPL1321X245),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-4),0.0,0.0,299.10,302.05,0,7,13 Dec 245.00 (AAPL1321X245-4),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-8),310.65,0.0,298.60,302.10,0,7,13 Dec 245.00 (AAPL1321X245-8),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-A),272.96,0.0,298.40,302.25,0,7,13 Dec 245.00 (AAPL1321X245-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-B),0.0,0.0,298.55,302.45,0,7,13 Dec 245.00 (AAPL1321X245-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-E),0.0,0.0,0.0,0.0,0,7,13 Dec 245.00 (AAPL1321X245-E),0.0,0.0,0.0,0.0,0,0,
13 Dec 245.00 (AAPL1321L245-I),0.0,0.0,298.35,302.35,0,7,13 Dec 245.00 (AAPL1321X245-I),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-J),0.0,0.0,298.40,301.85,0,7,13 Dec 245.00 (AAPL1321X245-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-O),0.0,0.0,298.60,302.25,0,7,13 Dec 245.00 (AAPL1321X245-O),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-P),287.56,0.0,298.90,302.25,0,7,13 Dec 245.00 (AAPL1321X245-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-S),283.00,0.0,299.10,302.45,0,7,13 Dec 245.00 (AAPL1321X245-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-X),301.27,0.0,298.55,302.10,0,7,13 Dec 245.00 (AAPL1321X245-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 245.00 (AAPL1321L245-Y),0.0,0.0,0.0,0.0,0,7,13 Dec 245.00 (AAPL1321X245-Y),0.0,0.0,0.0,0.0,0,0,
13 Dec 250.00 (AAPL1321L250),306.20,0.0,293.60,296.80,0,10,13 Dec 250.00 (AAPL1321X250),0.01,0.0,0.0,0.01,0,28,
13 Dec 250.00 (AAPL1321L250-4),275.20,0.0,293.55,297.05,0,10,13 Dec 250.00 (AAPL1321X250-4),0.0,0.0,0.0,0.05,0,28,
13 Dec 250.00 (AAPL1321L250-8),277.00,0.0,293.60,297.30,0,10,13 Dec 250.00 (AAPL1321X250-8),0.0,0.0,0.0,0.04,0,28,
13 Dec 250.00 (AAPL1321L250-A),274.00,0.0,293.40,297.25,0,10,13 Dec 250.00 (AAPL1321X250-A),0.0,0.0,0.0,0.01,0,28,
13 Dec 250.00 (AAPL1321L250-B),0.0,0.0,293.55,297.45,0,10,13 Dec 250.00 (AAPL1321X250-B),0.0,0.0,0.0,0.01,0,28,
13 Dec 250.00 (AAPL1321L250-E),277.10,0.0,293.50,297.30,0,10,13 Dec 250.00 (AAPL1321X250-E),0.01,0.0,0.0,0.01,0,28,
13 Dec 250.00 (AAPL1321L250-I),300.50,0.0,294.10,297.00,0,10,13 Dec 250.00 (AAPL1321X250-I),0.12,0.0,0.0,1.70,0,28,
13 Dec 250.00 (AAPL1321L250-J),0.0,0.0,293.40,296.85,0,10,13 Dec 250.00 (AAPL1321X250-J),0.0,0.0,0.0,0.25,0,28,
13 Dec 250.00 (AAPL1321L250-O),267.20,0.0,293.60,297.05,0,10,13 Dec 250.00 (AAPL1321X250-O),0.0,0.0,0.0,0.15,0,28,
13 Dec 250.00 (AAPL1321L250-P),306.20,0.0,293.90,297.25,0,10,13 Dec 250.00 (AAPL1321X250-P),0.0,0.0,0.0,0.05,0,28,
13 Dec 250.00 (AAPL1321L250-S),226.00,0.0,293.45,297.35,0,10,13 Dec 250.00 (AAPL1321X250-S),0.08,0.0,0.0,0.04,0,28,
13 Dec 250.00 (AAPL1321L250-X),276.00,0.0,293.55,297.30,0,10,13 Dec 250.00 (AAPL1321X250-X),0.0,0.0,0.0,0.05,0,28,
13 Dec 250.00 (AAPL1321L250-Y),0.0,0.0,293.50,297.45,0,10,13 Dec 250.00 (AAPL1321X250-Y),0.0,0.0,0.0,0.05,0,28,
13 Dec 255.00 (AAPL1321L255),0.0,0.0,288.60,291.75,0,0,13 Dec 255.00 (AAPL1321X255),0.05,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-4),0.0,0.0,288.55,292.10,0,0,13 Dec 255.00 (AAPL1321X255-4),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-8),0.0,0.0,288.60,292.10,0,0,13 Dec 255.00 (AAPL1321X255-8),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-A),0.0,0.0,288.40,292.25,0,0,13 Dec 255.00 (AAPL1321X255-A),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-B),0.0,0.0,288.55,292.45,0,0,13 Dec 255.00 (AAPL1321X255-B),0.05,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-E),0.0,0.0,288.50,292.30,0,0,13 Dec 255.00 (AAPL1321X255-E),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-I),0.0,0.0,289.10,292.10,0,0,13 Dec 255.00 (AAPL1321X255-I),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-J),0.0,0.0,288.40,291.85,0,0,13 Dec 255.00 (AAPL1321X255-J),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-O),0.0,0.0,288.60,292.05,0,0,13 Dec 255.00 (AAPL1321X255-O),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-P),0.0,0.0,288.90,292.25,0,0,13 Dec 255.00 (AAPL1321X255-P),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-S),0.0,0.0,289.10,292.35,0,0,13 Dec 255.00 (AAPL1321X255-S),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-X),0.0,0.0,288.55,292.10,0,0,13 Dec 255.00 (AAPL1321X255-X),0.0,0.0,0.0,0.05,0,10,
13 Dec 255.00 (AAPL1321L255-Y),0.0,0.0,288.50,292.10,0,0,13 Dec 255.00 (AAPL1321X255-Y),0.0,0.0,0.0,0.05,0,10,
13 Dec 260.00 (AAPL1321L260),265.81,0.0,283.65,286.65,0,0,13 Dec 260.00 (AAPL1321X260),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-4),0.0,0.0,283.60,287.05,0,0,13 Dec 260.00 (AAPL1321X260-4),0.0,0.0,0.0,0.06,0,0,
13 Dec 260.00 (AAPL1321L260-8),0.0,0.0,283.60,287.10,0,0,13 Dec 260.00 (AAPL1321X260-8),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-A),0.0,0.0,283.60,287.25,0,0,13 Dec 260.00 (AAPL1321X260-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-B),0.0,0.0,283.55,287.45,0,0,13 Dec 260.00 (AAPL1321X260-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-E),265.81,0.0,283.50,287.40,0,0,13 Dec 260.00 (AAPL1321X260-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-I),0.0,0.0,283.50,287.05,0,0,13 Dec 260.00 (AAPL1321X260-I),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-J),0.0,0.0,283.65,286.85,0,0,13 Dec 260.00 (AAPL1321X260-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-O),0.0,0.0,283.60,287.25,0,0,13 Dec 260.00 (AAPL1321X260-O),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-P),0.0,0.0,283.60,287.25,0,0,13 Dec 260.00 (AAPL1321X260-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-S),0.0,0.0,283.60,287.45,0,0,13 Dec 260.00 (AAPL1321X260-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-X),261.60,0.0,283.55,287.10,0,0,13 Dec 260.00 (AAPL1321X260-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 260.00 (AAPL1321L260-Y),0.0,0.0,283.50,287.10,0,0,13 Dec 260.00 (AAPL1321X260-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265),0.0,0.0,278.60,281.75,0,0,13 Dec 265.00 (AAPL1321X265),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-4),0.0,0.0,279.10,282.10,0,0,13 Dec 265.00 (AAPL1321X265-4),0.0,0.0,0.0,0.07,0,0,
13 Dec 265.00 (AAPL1321L265-8),0.0,0.0,278.60,282.10,0,0,13 Dec 265.00 (AAPL1321X265-8),0.0,0.0,0.0,0.07,0,0,
13 Dec 265.00 (AAPL1321L265-A),0.0,0.0,278.40,282.25,0,0,13 Dec 265.00 (AAPL1321X265-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-B),0.0,0.0,278.55,282.45,0,0,13 Dec 265.00 (AAPL1321X265-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-E),0.0,0.0,278.50,282.30,0,0,13 Dec 265.00 (AAPL1321X265-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-I),0.0,0.0,278.45,282.30,0,0,13 Dec 265.00 (AAPL1321X265-I),0.0,0.0,0.0,0.06,0,0,
13 Dec 265.00 (AAPL1321L265-J),0.0,0.0,278.40,281.85,0,0,13 Dec 265.00 (AAPL1321X265-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-O),0.0,0.0,278.40,282.10,0,0,13 Dec 265.00 (AAPL1321X265-O),0.0,0.0,0.0,0.06,0,0,
13 Dec 265.00 (AAPL1321L265-P),0.0,0.0,278.90,282.10,0,0,13 Dec 265.00 (AAPL1321X265-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-S),0.0,0.0,279.10,282.10,0,0,13 Dec 265.00 (AAPL1321X265-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-X),0.0,0.0,278.55,282.10,0,0,13 Dec 265.00 (AAPL1321X265-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 265.00 (AAPL1321L265-Y),0.0,0.0,278.50,282.10,0,0,13 Dec 265.00 (AAPL1321X265-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 270.00 (AAPL1321L270),0.0,0.0,273.75,276.65,0,0,13 Dec 270.00 (AAPL1321X270),0.11,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-4),0.0,0.0,273.55,277.15,0,0,13 Dec 270.00 (AAPL1321X270-4),0.0,0.0,0.0,0.09,0,1,
13 Dec 270.00 (AAPL1321L270-8),0.0,0.0,273.60,277.15,0,0,13 Dec 270.00 (AAPL1321X270-8),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-A),0.0,0.0,273.40,277.25,0,0,13 Dec 270.00 (AAPL1321X270-A),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-B),0.0,0.0,273.55,277.45,0,0,13 Dec 270.00 (AAPL1321X270-B),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-E),0.0,0.0,273.50,277.35,0,0,13 Dec 270.00 (AAPL1321X270-E),0.11,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-I),0.0,0.0,273.40,277.15,0,0,13 Dec 270.00 (AAPL1321X270-I),0.0,0.0,0.0,0.08,0,1,
13 Dec 270.00 (AAPL1321L270-J),0.0,0.0,273.75,276.85,0,0,13 Dec 270.00 (AAPL1321X270-J),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-O),0.0,0.0,273.55,277.15,0,0,13 Dec 270.00 (AAPL1321X270-O),0.0,0.0,0.0,0.08,0,1,
13 Dec 270.00 (AAPL1321L270-P),0.0,0.0,273.70,277.15,0,0,13 Dec 270.00 (AAPL1321X270-P),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-S),0.0,0.0,273.60,277.15,0,0,13 Dec 270.00 (AAPL1321X270-S),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-X),0.0,0.0,273.55,277.10,0,0,13 Dec 270.00 (AAPL1321X270-X),0.0,0.0,0.0,0.05,0,1,
13 Dec 270.00 (AAPL1321L270-Y),0.0,0.0,273.50,277.20,0,0,13 Dec 270.00 (AAPL1321X270-Y),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275),0.0,0.0,268.60,271.80,0,0,13 Dec 275.00 (AAPL1321X275),0.10,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-4),0.0,0.0,269.10,272.10,0,0,13 Dec 275.00 (AAPL1321X275-4),0.0,0.0,0.0,0.11,0,1,
13 Dec 275.00 (AAPL1321L275-8),0.0,0.0,268.60,272.10,0,0,13 Dec 275.00 (AAPL1321X275-8),0.0,0.0,0.0,0.11,0,1,
13 Dec 275.00 (AAPL1321L275-A),0.0,0.0,268.40,272.25,0,0,13 Dec 275.00 (AAPL1321X275-A),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-B),0.0,0.0,268.55,272.45,0,0,13 Dec 275.00 (AAPL1321X275-B),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-E),0.0,0.0,268.50,272.25,0,0,13 Dec 275.00 (AAPL1321X275-E),0.10,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-I),0.0,0.0,268.35,272.25,0,0,13 Dec 275.00 (AAPL1321X275-I),0.0,0.0,0.0,0.10,0,1,
13 Dec 275.00 (AAPL1321L275-J),0.0,0.0,268.40,271.85,0,0,13 Dec 275.00 (AAPL1321X275-J),0.0,0.0,0.0,0.05,0,1,
13 Dec 275.00 (AAPL1321L275-O),0.0,0.0,268.40,272.10,0,0,13 Dec 275.00 (AAPL1321X275-O),0.0,0.0,0.0,0.10,0,1,
